dataset,modification,percentage,method,metric,value
Dancer 01,random asc,0.4,Louvain-igraph,P*/P,0.061224489795918366
Dancer 01,random asc,0.4,Louvain-igraph,Modularity,0.6686636619164101
Dancer 01,random asc,0.4,Louvain-igraph,NMI,0.579790613753708
Dancer 01,random asc,0.4,Fastgreedy,P,103.0
Dancer 01,random asc,0.4,Fastgreedy,P*/P,0.05825242718446602
Dancer 01,random asc,0.4,Fastgreedy,Modularity,0.6582103461141194
Dancer 01,random asc,0.4,Fastgreedy,NMI,0.559639713862208
Dancer 01,random asc,0.4,Infomap,P,213.0
Dancer 01,random asc,0.4,Infomap,P*/P,0.028169014084507043
Dancer 01,random asc,0.4,Infomap,Modularity,0.5898146884061201
Dancer 01,random asc,0.4,Infomap,NMI,0.4341725370872897
Dancer 01,random asc,0.4,Label Propagation,P,90.0
Dancer 01,random asc,0.4,Label Propagation,P*/P,0.06666666666666667
Dancer 01,random asc,0.4,Label Propagation,Modularity,0.6605979109107946
Dancer 01,random asc,0.4,Label Propagation,NMI,0.587540582720379
Dancer 01,random asc,0.4,Louvain,P,97.0
Dancer 01,random asc,0.4,Louvain,P*/P,0.061855670103092786
Dancer 01,random asc,0.4,Louvain,Modularity,0.6674549077520878
Dancer 01,random asc,0.4,Louvain,NMI,0.5770278371428075
Dancer 01,random asc,0.5,Louvain-igraph,P,164.0
Dancer 01,random asc,0.5,Louvain-igraph,P*/P,0.036585365853658534
Dancer 01,random asc,0.5,Louvain-igraph,Modularity,0.6856414148701734
Dancer 01,random asc,0.5,Louvain-igraph,NMI,0.5494008687530881
Dancer 01,random asc,0.5,Fastgreedy,P,166.0
Dancer 01,random asc,0.5,Fastgreedy,P*/P,0.03614457831325301
Dancer 01,random asc,0.5,Fastgreedy,Modularity,0.6857630768873535
Dancer 01,random asc,0.5,Fastgreedy,NMI,0.5435095094507402
Dancer 01,random asc,0.5,Infomap,P,291.0
Dancer 01,random asc,0.5,Infomap,P*/P,0.020618556701030927
Dancer 01,random asc,0.5,Infomap,Modularity,0.5712195834591066
Dancer 01,random asc,0.5,Infomap,NMI,0.4227124682358451
Dancer 01,random asc,0.5,Label Propagation,P,157.0
Dancer 01,random asc,0.5,Label Propagation,P*/P,0.03821656050955414
Dancer 01,random asc,0.5,Label Propagation,Modularity,0.6061583509416728
Dancer 01,random asc,0.5,Label Propagation,NMI,0.5174774140479671
Dancer 01,random asc,0.5,Louvain,P,162.0
Dancer 01,random asc,0.5,Louvain,P*/P,0.037037037037037035
Dancer 01,random asc,0.5,Louvain,Modularity,0.6853036222317312
Dancer 01,random asc,0.5,Louvain,NMI,0.55044835860145
Dancer 01,random asc,0.6000000000000001,Louvain-igraph,P,239.0
Dancer 01,random asc,0.6000000000000001,Louvain-igraph,P*/P,0.02510460251046025
Dancer 01,random asc,0.6000000000000001,Louvain-igraph,Modularity,0.6985048245530726
Dancer 01,random asc,0.6000000000000001,Louvain-igraph,NMI,0.49892086624086024
Dancer 01,random asc,0.6000000000000001,Fastgreedy,P,241.0
Dancer 01,random asc,0.6000000000000001,Fastgreedy,P*/P,0.024896265560165973
Dancer 01,random asc,0.6000000000000001,Fastgreedy,Modularity,0.7074377591211507
Dancer 01,random asc,0.6000000000000001,Fastgreedy,NMI,0.5137002103018135
Dancer 01,random asc,0.6000000000000001,Infomap,P,368.0
Dancer 01,random asc,0.6000000000000001,Infomap,P*/P,0.016304347826086956
Dancer 01,random asc,0.6000000000000001,Infomap,Modularity,0.5863439484149262
Dancer 01,random asc,0.6000000000000001,Infomap,NMI,0.3986248209635759
Dancer 01,random asc,0.6000000000000001,Label Propagation,P,253.0
Dancer 01,random asc,0.6000000000000001,Label Propagation,P*/P,0.023715415019762844
Dancer 01,random asc,0.6000000000000001,Label Propagation,Modularity,0.6299797451655184
Dancer 01,random asc,0.6000000000000001,Label Propagation,NMI,0.4668088461945442
Dancer 01,random asc,0.6000000000000001,Louvain,P,239.0
Dancer 01,random asc,0.6000000000000001,Louvain,P*/P,0.02510460251046025
Dancer 01,random asc,0.6000000000000001,Louvain,Modularity,0.6971463541297933
Dancer 01,random asc,0.6000000000000001,Louvain,NMI,0.4913453143723754
Dancer 01,random asc,0.7000000000000001,Louvain-igraph,P,379.0
Dancer 01,random asc,0.7000000000000001,Louvain-igraph,P*/P,0.0158311345646438
Dancer 01,random asc,0.7000000000000001,Louvain-igraph,Modularity,0.7219489153005626
Dancer 01,random asc,0.7000000000000001,Louvain-igraph,NMI,0.4389271027403863
Dancer 01,random asc,0.7000000000000001,Fastgreedy,P,387.0
Dancer 01,random asc,0.7000000000000001,Fastgreedy,P*/P,0.015503875968992248
Dancer 01,random asc,0.7000000000000001,Fastgreedy,Modularity,0.7250449867605855
Dancer 01,random asc,0.7000000000000001,Fastgreedy,NMI,0.44995735886688176
Dancer 01,random asc,0.7000000000000001,Infomap,P,505.0
Dancer 01,random asc,0.7000000000000001,Infomap,P*/P,0.011881188118811881
Dancer 01,random asc,0.7000000000000001,Infomap,Modularity,0.6124085755250905
Dancer 01,random asc,0.7000000000000001,Infomap,NMI,0.3728189628678613
Dancer 01,random asc,0.7000000000000001,Label Propagation,P,422.0
Dancer 01,random asc,0.7000000000000001,Label Propagation,P*/P,0.014218009478672985
Dancer 01,random asc,0.7000000000000001,Label Propagation,Modularity,0.629809180157897
Dancer 01,random asc,0.7000000000000001,Label Propagation,NMI,0.4097483777602439
Dancer 01,random asc,0.7000000000000001,Louvain,P,378.0
Dancer 01,random asc,0.7000000000000001,Louvain,P*/P,0.015873015873015872
Dancer 01,random asc,0.7000000000000001,Louvain,Modularity,0.7200116882117698
Dancer 01,random asc,0.7000000000000001,Louvain,NMI,0.43926457361682353
Dancer 01,random asc,0.8,Louvain-igraph,P,594.0
Dancer 01,random asc,0.8,Louvain-igraph,P*/P,0.010101010101010102
Dancer 01,random asc,0.8,Louvain-igraph,Modularity,0.7689304135059849
Dancer 01,random asc,0.8,Louvain-igraph,NMI,0.3842025045890604
Dancer 01,random asc,0.8,Fastgreedy,P,599.0
Dancer 01,random asc,0.8,Fastgreedy,P*/P,0.01001669449081803
Dancer 01,random asc,0.8,Fastgreedy,Modularity,0.7676053449969861
Dancer 01,random asc,0.8,Fastgreedy,NMI,0.39115452064117984
Dancer 01,random asc,0.8,Infomap,P,697.0
Dancer 01,random asc,0.8,Infomap,P*/P,0.00860832137733142
Dancer 01,random asc,0.8,Infomap,Modularity,0.6591133372818454
Dancer 01,random asc,0.8,Infomap,NMI,0.36437086580899203
Dancer 01,random asc,0.8,Label Propagation,P,669.0
Dancer 01,random asc,0.8,Label Propagation,P*/P,0.008968609865470852
Dancer 01,random asc,0.8,Label Propagation,Modularity,0.6609061405129492
Dancer 01,random asc,0.8,Label Propagation,NMI,0.365653129635988
Dancer 01,random asc,0.8,Louvain,P,591.0
Dancer 01,random asc,0.8,Louvain,P*/P,0.01015228426395939
Dancer 01,random asc,0.8,Louvain,Modularity,0.7634701988012861
Dancer 01,random asc,0.8,Louvain,NMI,0.3768020303856716
Dancer 01,random asc,0.9,Louvain-igraph,P,981.0
Dancer 01,random asc,0.9,Louvain-igraph,P*/P,0.0061162079510703364
Dancer 01,random asc,0.9,Louvain-igraph,Modularity,0.8699503212627404
Dancer 01,random asc,0.9,Louvain-igraph,NMI,0.3605547104573563
Dancer 01,random asc,0.9,Fastgreedy,P,983.0
Dancer 01,random asc,0.9,Fastgreedy,P*/P,0.006103763987792472
Dancer 01,random asc,0.9,Fastgreedy,Modularity,0.8696654067112046
Dancer 01,random asc,0.9,Fastgreedy,NMI,0.36254256961028813
Dancer 01,random asc,0.9,Infomap,P,1039.0
Dancer 01,random asc,0.9,Infomap,P*/P,0.005774783445620789
Dancer 01,random asc,0.9,Infomap,Modularity,0.8074504291849195
Dancer 01,random asc,0.9,Infomap,NMI,0.3670592852030523
Dancer 01,random asc,0.9,Label Propagation,P,1034.0
Dancer 01,random asc,0.9,Label Propagation,P*/P,0.005802707930367505
Dancer 01,random asc,0.9,Label Propagation,Modularity,0.8069479435213018
Dancer 01,random asc,0.9,Label Propagation,NMI,0.3678426816892536
Dancer 01,random asc,0.9,Louvain,P,982.0
Dancer 01,random asc,0.9,Louvain,P*/P,0.006109979633401222
Dancer 01,random asc,0.9,Louvain,Modularity,0.8700789644996462
Dancer 01,random asc,0.9,Louvain,NMI,0.3628413437289483
Dancer 01,betweenness asc,0.0,Louvain-igraph,P,8.0
Dancer 01,betweenness asc,0.0,Louvain-igraph,P*/P,0.75
Dancer 01,betweenness asc,0.0,Louvain-igraph,Modularity,0.6495885812819755
Dancer 01,betweenness asc,0.0,Louvain-igraph,NMI,0.7740239346610807
Dancer 01,betweenness asc,0.0,Fastgreedy,P,8.0
Dancer 01,betweenness asc,0.0,Fastgreedy,P*/P,0.75
Dancer 01,betweenness asc,0.0,Fastgreedy,Modularity,0.6405248819384323
Dancer 01,betweenness asc,0.0,Fastgreedy,NMI,0.7592452773222022
Dancer 01,betweenness asc,0.0,Infomap,P,98.0
Dancer 01,betweenness asc,0.0,Infomap,P*/P,0.061224489795918366
Dancer 01,betweenness asc,0.0,Infomap,Modularity,0.6054072149688023
Dancer 01,betweenness asc,0.0,Infomap,NMI,0.5560018142034047
Dancer 01,betweenness asc,0.0,Label Propagation,P,6.0
Dancer 01,betweenness asc,0.0,Label Propagation,P*/P,1.0
Dancer 01,betweenness asc,0.0,Label Propagation,Modularity,0.6469511139140713
Dancer 01,betweenness asc,0.0,Label Propagation,NMI,0.7913092685623981
Dancer 01,betweenness asc,0.0,Louvain,P,9.0
Dancer 01,betweenness asc,0.0,Louvain,P*/P,0.6666666666666666
Dancer 01,betweenness asc,0.0,Louvain,Modularity,0.6492320780549777
Dancer 01,betweenness asc,0.0,Louvain,NMI,0.7844916592985058
Dancer 01,betweenness desc,0.0,Louvain-igraph,P,9.0
Dancer 01,betweenness desc,0.0,Louvain-igraph,P*/P,0.6666666666666666
Dancer 01,betweenness desc,0.0,Louvain-igraph,Modularity,0.6494291525551166
Dancer 01,betweenness desc,0.0,Louvain-igraph,NMI,0.7751276161104373
Dancer 01,betweenness desc,0.0,Fastgreedy,P,8.0
Dancer 01,betweenness desc,0.0,Fastgreedy,P*/P,0.75
Dancer 01,betweenness desc,0.0,Fastgreedy,Modularity,0.6405248819384323
Dancer 01,betweenness desc,0.0,Fastgreedy,NMI,0.7592452773222022
Dancer 01,betweenness desc,0.0,Infomap,P,96.0
Dancer 01,betweenness desc,0.0,Infomap,P*/P,0.0625
Dancer 01,betweenness desc,0.0,Infomap,Modularity,0.6059145604383446
Dancer 01,betweenness desc,0.0,Infomap,NMI,0.5535993768995403
Dancer 01,betweenness desc,0.0,Label Propagation,P,6.0
Dancer 01,betweenness desc,0.0,Label Propagation,P*/P,1.0
Dancer 01,betweenness desc,0.0,Label Propagation,Modularity,0.6477831995293019
Dancer 01,betweenness desc,0.0,Label Propagation,NMI,0.8086757806890962
Dancer 01,betweenness desc,0.0,Louvain,P,9.0
Dancer 01,betweenness desc,0.0,Louvain,P*/P,0.6666666666666666
Dancer 01,betweenness desc,0.0,Louvain,Modularity,0.649186571415777
Dancer 01,betweenness desc,0.0,Louvain,NMI,0.7808904972489237
Dancer 01,betweenness asc,0.1,Louvain-igraph,P,16.0
Dancer 01,betweenness asc,0.1,Louvain-igraph,P*/P,0.375
Dancer 01,betweenness asc,0.1,Louvain-igraph,Modularity,0.6518870925203619
Dancer 01,betweenness asc,0.1,Louvain-igraph,NMI,0.7522228978023994
Dancer 01,betweenness asc,0.1,Fastgreedy,P,16.0
Dancer 01,betweenness asc,0.1,Fastgreedy,P*/P,0.375
Dancer 01,betweenness asc,0.1,Fastgreedy,Modularity,0.6426143441328117
Dancer 01,betweenness asc,0.1,Fastgreedy,NMI,0.7144098655859394
Dancer 01,betweenness asc,0.1,Infomap,P,106.0
Dancer 01,betweenness asc,0.1,Infomap,P*/P,0.05660377358490566
