dataset,modification,percentage,method,metric,value
Dancer 01,random asc,0.4,Louvain-igraph,P,90.0
Dancer 01,random asc,0.4,Louvain-igraph,P*/P,0.06666666666666667
Dancer 01,random asc,0.4,Louvain-igraph,Modularity,0.6738610720888136
Dancer 01,random asc,0.4,Louvain-igraph,NMI,0.5924498103451323
Dancer 01,random asc,0.4,Fastgreedy,P,95.0
Dancer 01,random asc,0.4,Fastgreedy,P*/P,0.06315789473684211
Dancer 01,random asc,0.4,Fastgreedy,Modularity,0.6575175180458971
Dancer 01,random asc,0.4,Fastgreedy,NMI,0.5591523292386202
Dancer 01,random asc,0.4,Infomap,P,205.0
Dancer 01,random asc,0.4,Infomap,P*/P,0.02926829268292683
Dancer 01,random asc,0.4,Infomap,Modularity,0.5959494894843755
Dancer 01,random asc,0.4,Infomap,NMI,0.4360052038052306
Dancer 01,random asc,0.4,Label Propagation,P,82.0
Dancer 01,random asc,0.4,Label Propagation,P*/P,0.07317073170731707
Dancer 01,random asc,0.4,Label Propagation,Modularity,0.6668062751853778
Dancer 01,random asc,0.4,Label Propagation,NMI,0.6269481871726834
Dancer 01,random asc,0.4,Louvain,P,90.0
Dancer 01,random asc,0.4,Louvain,P*/P,0.06666666666666667
Dancer 01,random asc,0.4,Louvain,Modularity,0.6740164761405477
Dancer 01,random asc,0.4,Louvain,NMI,0.5938067248099943
Dancer 01,random asc,0.5,Louvain-igraph,P,174.0
Dancer 01,random asc,0.5,Louvain-igraph,P*/P,0.034482758620689655
Dancer 01,random asc,0.5,Louvain-igraph,Modularity,0.674727077645867
Dancer 01,random asc,0.5,Louvain-igraph,NMI,0.5408492623745031
Dancer 01,random asc,0.5,Fastgreedy,P,176.0
Dancer 01,random asc,0.5,Fastgreedy,P*/P,0.03409090909090909
Dancer 01,random asc,0.5,Fastgreedy,Modularity,0.6769120528393928
Dancer 01,random asc,0.5,Fastgreedy,NMI,0.5543143326889399
Dancer 01,random asc,0.5,Infomap,P,287.0
Dancer 01,random asc,0.5,Infomap,P*/P,0.020905923344947737
Dancer 01,random asc,0.5,Infomap,Modularity,0.5870080030871246
Dancer 01,random asc,0.5,Infomap,NMI,0.4248813522645421
Dancer 01,random asc,0.5,Label Propagation,P,172.0
Dancer 01,random asc,0.5,Label Propagation,P*/P,0.03488372093023256
Dancer 01,random asc,0.5,Label Propagation,Modularity,0.6690894373734658
Dancer 01,random asc,0.5,Label Propagation,NMI,0.5639828946212156
Dancer 01,random asc,0.5,Louvain,P,177.0
Dancer 01,random asc,0.5,Louvain,P*/P,0.03389830508474576
Dancer 01,random asc,0.5,Louvain,Modularity,0.6782330583999794
Dancer 01,random asc,0.5,Louvain,NMI,0.5530211572659821
Dancer 01,random asc,0.6000000000000001,Louvain-igraph,P,225.0
Dancer 01,random asc,0.6000000000000001,Louvain-igraph,P*/P,0.02666666666666667
Dancer 01,random asc,0.6000000000000001,Louvain-igraph,Modularity,0.6948936405345342
Dancer 01,random asc,0.6000000000000001,Louvain-igraph,NMI,0.48953468503177666
Dancer 01,random asc,0.6000000000000001,Fastgreedy,P,233.0
Dancer 01,random asc,0.6000000000000001,Fastgreedy,P*/P,0.02575107296137339
Dancer 01,random asc,0.6000000000000001,Fastgreedy,Modularity,0.7033536061548451
Dancer 01,random asc,0.6000000000000001,Fastgreedy,NMI,0.5056611220755585
Dancer 01,random asc,0.6000000000000001,Infomap,P,356.0
Dancer 01,random asc,0.6000000000000001,Infomap,P*/P,0.016853932584269662
Dancer 01,random asc,0.6000000000000001,Infomap,Modularity,0.58136943747507
Dancer 01,random asc,0.6000000000000001,Infomap,NMI,0.39948777087352344
Dancer 01,random asc,0.6000000000000001,Label Propagation,P,229.0
Dancer 01,random asc,0.6000000000000001,Label Propagation,P*/P,0.026200873362445413
Dancer 01,random asc,0.6000000000000001,Label Propagation,Modularity,0.6907814817628786
Dancer 01,random asc,0.6000000000000001,Label Propagation,NMI,0.5244342003119402
Dancer 01,random asc,0.6000000000000001,Louvain,P,225.0
Dancer 01,random asc,0.6000000000000001,Louvain,P*/P,0.02666666666666667
Dancer 01,random asc,0.6000000000000001,Louvain,Modularity,0.6980618579709594
Dancer 01,random asc,0.6000000000000001,Louvain,NMI,0.5013800134204215
Dancer 01,random asc,0.7000000000000001,Louvain-igraph,P,372.0
Dancer 01,random asc,0.7000000000000001,Louvain-igraph,P*/P,0.016129032258064516
Dancer 01,random asc,0.7000000000000001,Louvain-igraph,Modularity,0.7178202444355789
Dancer 01,random asc,0.7000000000000001,Louvain-igraph,NMI,0.41672463038355767
Dancer 01,random asc,0.7000000000000001,Fastgreedy,P,378.0
Dancer 01,random asc,0.7000000000000001,Fastgreedy,P*/P,0.015873015873015872
Dancer 01,random asc,0.7000000000000001,Fastgreedy,Modularity,0.7290923082856012
Dancer 01,random asc,0.7000000000000001,Fastgreedy,NMI,0.42568254803453376
Dancer 01,random asc,0.7000000000000001,Infomap,P,498.0
